EmployeePPPER,Status,ZipCode,Sex,Eeoc,Shift,BaseRate,Grade,Training,LastEval,StartEval,Education,StartGrade,StartRate,Experience,EngagementIndex,CommitmentIndex,Unscheduled,Tenure,Age,EntryAge,CareerAge,CareerStage,ServiceLength,SalaryProg,JobLevelProg,AvgEval,LastPromotion,TotalEmployment
491,ACTIVE,75062,F,WHITE,1,21.53,37,5000,7,4,4,30,17.1,7,8,7,7,13,41,28,41,3,5,0.34,0.54,5.5,1,20
492,ACTIVE,75012,F,WHITE,1,21.53,37,5000,7,2,4,30,13.07,1,4,7,8,21,42,22,42,3,6,0.4,0.33,4.5,1,22
493,TERM,75012,F,WHITE,1,5.45,1,1000,5,2,0,4,6,36,7,8,9,2,68,57,58,4,3,-0.28,-1.5,3.5,2,38
495,ACTIVE,75032,F,WHITE,1,15.22,17,5000,9,4,2,15,12.12,0,3,2,4,33,52,19,52,4,6,0.09,0.06,6.5,1,33
496,TERM,75032,F,WHITE,1,21.44,18,5000,6,3,2,8,18.79,2,2,2,3,26,49,23,49,3,6,0.1,0.38,4.5,1,28
497,ACTIVE,75018,F,WHITE,1,39.87,60,5000,2,3,6,60,32.14,2,4,5,6,14,38,23,38,3,5,0.55,0,2.5,14,16
498,ACTIVE,75032,F,WHITE,1,15.02,17,5000,5,2,2,9,13.24,0,8,8,8,33,52,19,52,4,6,0.05,0.24,3.5,1,33
499,TERM,75032,F,WHITE,1,7.39,5,5000,7,2,1,3,6,6,7,6,1,1,37,27,28,2,2,1.39,2,4.5,1,7
500,TERM,75042,F,WHITE,1,11.47,6,5000,9,4,1,3,7.98,17,2,4,0,26,70,38,64,4,6,0.13,0.12,6.5,26,43
501,ACTIVE,75038,F,WHITE,1,15.02,17,5000,5,2,2,12,7.54,3,5,6,5,39,63,24,63,4,6,0.19,0.13,3.5,1,42
502,ACTIVE,75028,F,WHITE,1,12.48,9,5000,2,8,1,3,11.56,0,10,6,1,12,32,20,32,2,5,0.08,0.5,5,6,12
503,ACTIVE,75028,F,WHITE,1,12.77,6,5000,7,2,1,1,9.6,0,1,3,8,18,37,19,37,3,5,0.18,0.28,4.5,14,18
504,TERM,75002,F,WHITE,3,18.45,37,5000,3,6,4,34,15.89,0,8,9,8,21,45,21,42,3,6,0.12,0.14,4.5,0,21
505,TERM,75022,F,WHITE,1,12.86,17,5000,9,8,2,12,5.76,19,10,9,2,8,53,40,48,3,4,0.89,0.63,8.5,8,27
506,ACTIVE,75028,F,WHITE,1,16.39,18,5000,5,1,2,16,8.68,0,8,7,1,29,48,18,48,3,6,0.27,0.07,3,6,29
507,TERM,75028,F,WHITE,1,13.25,17,5000,5,0,2,9,6.1,1,5,3,6,11,37,22,33,2,5,0.65,0.73,2.5,0,12
508,ACTIVE,75022,F,WHITE,1,12.77,6,5000,7,4,1,6,6,12,7,8,10,32,66,33,66,4,6,0.21,0,5.5,32,44
509,ACTIVE,75042,F,WHITE,3,21.53,37,5000,7,7,4,31,11.98,28,1,1,7,4,53,49,53,4,3,2.39,1.5,7,3,32
510,TERM,75038,F,WHITE,2,5.45,1,1000,5,3,0,6,6,0,5,3,10,3,28,16,19,1,3,-0.18,-1.67,4,3,3
511,ACTIVE,75002,F,WHITE,1,21.53,37,5000,7,4,4,32,19.28,11,4,4,3,29,60,32,60,4,6,0.08,0.17,5.5,1,40
512,ACTIVE,75001,F,WHITE,1,14.32,18,5000,8,2,2,13,9.47,7,5,5,8,18,46,28,46,3,5,0.27,0.28,5,1,25
513,TERM,75038,F,WHITE,2,9.25,6,5000,6,4,1,3,6,28,5,4,9,6,63,49,56,4,4,0.54,0.5,5,6,34
514,ACTIVE,75055,F,WHITE,1,18.48,19,5000,1,2,2,11,14.82,0,1,2,4,28,45,18,45,3,6,0.13,0.29,1.5,7,28
515,TERM,75062,F,WHITE,1,16.96,18,5000,5,2,2,10,9.49,14,1,5,10,27,63,35,62,4,6,0.28,0.3,3.5,19,41
516,TERM,75028,F,WHITE,1,15.48,37,5000,3,6,4,34,6.28,1,3,4,0,11,44,22,33,2,5,0.84,0.27,4.5,11,12
517,ACTIVE,75038,F,WHITE,2,12.77,6,5000,7,1,1,3,12.58,19,3,5,4,18,58,40,58,4,5,0.01,0.17,4,3,37
518,TERM,75028,F,WHITE,2,11.61,5,5000,8,2,1,2,6,14,4,3,9,13,51,35,49,3,5,0.43,0.23,5,13,27
519,TERM,75032,F,WHITE,2,9.09,8,5000,3,0,1,6,6,0,6,7,3,5,33,21,26,2,4,0.62,0.4,1.5,5,5
520,ACTIVE,75022,F,WHITE,1,12.77,6,5000,7,2,1,2,6.59,0,3,7,0,36,57,21,57,4,6,0.17,0.11,4.5,14,36
521,TERM,75022,F,WHITE,3,19.87,52,5000,3,6,5,48,15.89,43,1,5,7,4,76,64,68,4,3,1,1,4.5,4,47
522,ACTIVE,75028,F,WHITE,1,17.7,18,5000,9,8,2,16,17.59,1,6,3,10,29,52,22,52,4,6,0,0.07,8.5,29,30
523,TERM,75002,F,WHITE,2,5.45,1,1000,5,2,0,4,6,0,9,8,6,2,29,17,19,1,3,-0.28,-1.5,3.5,2,2
524,ACTIVE,75028,F,WHITE,1,27.6,52,5000,5,3,5,50,17.84,1,3,5,8,12,35,22,35,3,5,0.81,0.17,4,1,13
526,TERM,75055,F,WHITE,2,5.13,1,1000,5,3,0,1,6,0,8,6,9,1,29,18,19,1,2,-0.87,0,4,1,1
527,ACTIVE,75042,F,WHITE,1,11.73,5,5000,9,2,1,1,10.15,0,10,6,0,30,49,18,49,3,6,0.05,0.13,5.5,10,30
528,ACTIVE,75011,M,WHITE,1,21.48,35,5000,2,2,4,35,15.24,0,6,7,6,27,46,19,46,3,6,0.23,0,2,4,27
529,ACTIVE,75018,F,WHITE,1,17.35,25,5000,4,0,3,18,15.41,1,5,4,6,24,46,22,46,3,6,0.08,0.29,2,24,25
530,TERM,75028,F,WHITE,1,5.12,1,1000,5,4,0,1,6,0,0,2,7,1,28,17,18,1,2,-0.88,0,4.5,1,1
531,ACTIVE,75028,F,WHITE,1,12.74,1,1000,3,6,0,9,12.42,25,4,6,1,4,50,46,50,4,3,0.08,-2,4.5,4,29
532,TERM,75028,F,WHITE,1,14.53,37,5000,8,7,4,37,13.99,9,3,3,1,4,44,30,34,2,3,0.14,0,7.5,4,13
533,TERM,75022,F,WHITE,2,17.94,37,5000,4,2,4,31,12.61,3,7,5,6,42,71,24,66,4,6,0.13,0.14,3,7,45
534,TERM,75042,F,WHITE,1,6.49,18,5000,7,2,2,11,6,6,0,1,7,3,39,27,30,2,3,0.16,2.33,4.5,3,9
535,TERM,75062,F,WHITE,3,22.61,55,5000,4,6,6,52,20.94,7,2,1,10,12,44,28,40,3,5,0.14,0.25,5,2,19
536,TERM,75032,F,WHITE,1,12.34,25,5000,9,1,3,17,4.89,2,6,5,3,1,35,23,25,2,2,7.45,8,5,1,3
537,TERM,75062,F,WHITE,1,10.31,5,5000,2,5,1,1,6,0,6,7,2,11,37,19,29,2,5,0.39,0.36,3.5,3,11
538,ACTIVE,75012,F,WHITE,1,12.77,6,5000,7,4,1,1,11.41,0,10,6,2,28,43,15,43,3,6,0.05,0.18,5.5,28,28
539,TERM,75018,F,WHITE,2,10.94,5,5000,5,4,1,0,6,19,5,3,7,24,69,40,64,4,6,0.21,0.21,4.5,24,43
540,ACTIVE,75032,F,WHITE,1,12.32,5,5000,2,1,1,1,10.4,0,5,4,7,14,33,19,33,2,5,0.14,0.29,1.5,14,14
541,ACTIVE,75042,F,WHITE,1,18.62,26,5000,4,0,3,21,11.16,20,6,6,2,12,53,41,53,4,5,0.62,0.42,2,12,32
542,TERM,75002,F,WHITE,1,7.09,1,1000,7,6,0,6,6,0,4,4,3,6,26,14,20,1,4,0.18,-0.83,6.5,6,6
543,ACTIVE,75011,F,WHITE,2,17.35,25,5000,4,1,3,15,14.91,4,3,4,0,29,54,25,54,4,6,0.08,0.34,2.5,20,33
544,ACTIVE,75028,F,WHITE,1,19.12,28,5000,5,2,3,24,10.83,7,8,6,1,32,60,28,60,4,6,0.26,0.13,3.5,17,39
545,TERM,75042,F,WHITE,1,10.5,9,5000,5,0,1,0,6,0,10,6,1,16,45,21,37,3,5,0.28,0.56,2.5,5,16
546,ACTIVE,75042,F,WHITE,1,13.51,8,5000,8,7,1,4,6,8,9,5,8,17,46,29,46,3,5,0.44,0.24,7.5,3,25
547,TERM,75032,M,WHITE,1,16.45,22,5000,2,6,2,21,11.75,1,4,3,9,32,58,22,54,4,6,0.15,0.03,4,4,33
548,ACTIVE,75020,M,WHITE,2,21.53,37,5000,7,2,4,33,14,17,3,5,7,15,54,38,54,4,5,0.5,0.27,4.5,15,32
549,TERM,75032,F,WHITE,1,7.57,1,1000,8,4,0,3,6,0,1,5,5,8,29,16,24,1,4,0.2,-0.25,6,8,8
550,TERM,75002,F,WHITE,1,11.92,6,5000,2,4,1,4,6,0,9,9,2,11,32,19,30,2,5,0.54,0.18,3,11,11
551,TERM,75032,F,WHITE,1,7.9,9,5000,1,6,1,4,6,0,7,4,3,6,32,17,23,1,4,0.32,0.83,3.5,4,6
552,ACTIVE,75011,F,WHITE,1,12.32,5,5000,2,0,1,4,9.82,0,10,7,3,40,62,21,62,4,6,0.06,0.03,1,15,40
553,TERM,75028,F,WHITE,1,10.82,6,5000,5,3,1,5,6,19,1,5,1,9,54,40,49,3,4,0.54,0.11,4,9,28
554,ACTIVE,75020,F,WHITE,1,12.32,5,5000,2,6,1,2,10.08,0,10,7,4,17,36,19,36,3,5,0.13,0.18,4,7,17
555,ACTIVE,75018,F,WHITE,1,12.32,5,5000,2,5,1,4,10.72,16,5,8,5,20,57,37,57,4,6,0.08,0.05,3.5,5,36
556,TERM,75062,F,WHITE,1,11.02,6,5000,6,2,1,1,6,23,4,5,5,26,77,44,70,4,6,0.19,0.19,4,20,49
557,ACTIVE,75062,F,WHITE,1,12.32,5,5000,2,6,1,2,6,12,10,6,4,21,54,33,54,4,6,0.3,0.14,4,21,33
558,ACTIVE,75012,F,WHITE,1,23.67,37,5000,6,3,4,35,16.93,1,7,5,3,16,37,22,37,3,5,0.42,0.13,4.5,15,17
559,ACTIVE,75028,F,WHITE,1,10.99,9,5000,9,5,1,0,2.08,0,8,5,9,13,29,16,29,2,5,0.69,0.69,7,3,13
560,ACTIVE,75018,F,WHITE,1,20.43,37,5000,6,2,4,32,13.66,30,3,5,8,1,52,51,52,4,2,6.77,5,4,1,31
561,TERM,75011,M,WHITE,1,6.04,1,1000,6,4,0,3,6,0,6,6,7,7,30,14,21,1,4,0.01,-0.29,5,2,7
562,TERM,75032,F,WHITE,3,8.89,5,5000,4,1,1,4,6,14,5,7,0,7,46,35,42,3,4,0.41,0.14,2.5,4,21
563,ACTIVE,75032,M,WHITE,1,17.8,22,5000,2,1,2,17,8.13,19,1,1,2,26,65,40,65,4,6,0.37,0.19,1.5,3,45
564,ACTIVE,75042,F,WHITE,1,13.67,9,5000,3,0,1,7,11,3,3,3,9,16,41,24,41,3,5,0.17,0.13,1.5,9,19
565,ACTIVE,75038,F,WHITE,1,10.7,3,3000,2,1,0,4,2.9,22,7,6,2,11,54,43,54,4,5,0.71,-0.09,1.5,11,33
566,TERM,75018,F,WHITE,1,7.61,8,5000,1,4,1,3,6,0,1,2,10,2,32,20,23,1,3,0.81,2.5,2.5,0,2
567,ACTIVE,75028,F,WHITE,1,12.77,6,5000,7,1,1,6,6,19,6,4,3,14,55,40,55,4,5,0.48,0,4,9,33
568,ACTIVE,75011,F,WHITE,1,39.87,60,5000,2,1,6,57,32.88,5,5,8,8,12,38,26,38,3,5,0.58,0.25,1.5,12,17
569,ACTIVE,75062,F,WHITE,1,15.24,9,5000,7,1,1,8,10.98,42,4,6,7,4,67,63,67,4,3,1.07,0.25,4,3,46
570,TERM,75018,F,WHITE,1,11.27,5,5000,6,2,1,5,9.45,22,0,1,7,8,55,43,51,4,4,0.23,0,4,8,30
571,ACTIVE,75001,F,WHITE,1,11.7,6,5000,0,4,1,0,6,0,3,3,3,28,44,16,44,3,6,0.2,0.21,2,2,28
572,TERM,75022,F,WHITE,1,12.4,6,5000,4,2,1,1,6.34,14,10,9,3,23,60,35,58,4,6,0.26,0.22,3,23,37
573,ACTIVE,75002,F,WHITE,1,15.1,9,5000,6,3,1,0,12.65,1,9,9,7,29,51,22,51,4,6,0.08,0.31,4.5,29,30
574,ACTIVE,75001,F,WHITE,1,12.94,7,5000,1,5,1,1,6,1,5,3,3,14,36,22,36,3,5,0.5,0.43,3,14,15
575,TERM,75055,F,WHITE,1,11.27,5,5000,6,5,1,3,6,8,6,6,2,9,43,29,39,3,4,0.59,0.22,5.5,1,17
576,ACTIVE,75055,F,WHITE,1,15.1,9,5000,6,0,1,9,12.33,17,0,0,6,20,58,38,58,4,6,0.14,0,3,6,37
577,ACTIVE,75022,F,WHITE,1,20.19,41,5000,8,0,4,32,19.43,1,2,4,1,25,47,22,47,3,6,0.03,0.36,4,1,26
578,ACTIVE,75028,F,WHITE,1,9.55,6,5000,7,5,1,4,6,0,6,4,6,11,31,20,31,2,5,0.32,0.18,6,2,11
579,TERM,75055,F,WHITE,2,10.84,5,5000,4,3,1,3,6,6,8,7,9,32,63,27,59,4,6,0.15,0.06,3.5,1,38
580,TERM,75055,F,WHITE,1,8.72,9,5000,8,6,1,5,6,1,8,7,4,5,36,22,28,2,4,0.54,0.8,7,0,6
581,TERM,75018,F,WHITE,1,7.35,1,1000,7,3,0,3,6,0,10,6,4,6,30,18,24,1,4,0.23,-0.33,5,3,6
582,ACTIVE,75001,F,WHITE,1,10.62,6,5000,4,2,1,0,6,6,8,9,5,15,42,27,42,3,5,0.31,0.4,3,6,21
583,TERM,75022,F,WHITE,3,14.97,37,5000,4,4,4,28,11.99,8,8,6,1,4,42,29,33,2,3,0.75,2.25,4,4,12
584,ACTIVE,75028,F,WHITE,1,21.53,37,5000,7,0,4,30,19.43,14,5,5,1,24,59,35,59,4,6,0.09,0.29,3.5,14,38
585,ACTIVE,75042,F,WHITE,1,21.53,37,5000,7,6,4,30,13.93,7,5,5,4,15,44,28,44,3,5,0.51,0.47,6.5,13,22
586,TERM,75062,F,WHITE,1,20.1,37,5000,4,2,4,35,16.05,1,6,8,7,11,36,22,33,2,5,0.37,0.18,3,1,12
587,ACTIVE,75001,F,WHITE,1,11.47,1,1000,1,2,0,4,6,21,5,5,9,35,78,42,78,4,6,0.16,-0.09,1.5,5,56
588,TERM,75032,F,WHITE,2,16.91,37,5000,6,6,4,32,7.22,5,4,6,3,4,37,26,29,2,3,2.42,1.25,6,4,9
589,ACTIVE,75020,M,WHITE,1,21.53,37,5000,7,6,4,36,17.77,5,7,7,8,13,39,26,39,3,5,0.29,0.08,6.5,13,18
590,ACTIVE,75011,F,WHITE,1,12.32,5,5000,2,1,1,1,6,12,6,5,5,16,49,33,49,3,5,0.4,0.25,1.5,3,28
591,TERM,75028,F,WHITE,1,8.32,8,5000,7,5,1,7,8.09,8,5,7,7,2,40,29,31,2,3,0.12,0.5,6,2,10
592,TERM,75028,M,WHITE,1,6.34,5,5000,2,4,1,3,6,0,3,4,10,2,28,15,17,1,3,0.17,1,3,2,2
593,TERM,75018,F,WHITE,1,11.47,6,5000,9,0,1,5,6,12,4,2,5,27,65,33,60,4,6,0.2,0.04,4.5,27,39
594,TERM,75028,F,WHITE,1,8.39,1,1000,8,4,0,8,1.3,0,9,9,4,12,40,21,34,2,5,0.59,-0.58,6,12,12
595,TERM,75001,F,WHITE,2,14.92,37,5000,2,7,4,28,11.87,0,10,7,9,6,34,21,27,2,4,0.51,1.5,4.5,1,6
596,TERM,75028,F,WHITE,1,10.82,9,5000,7,4,1,2,9.48,11,9,6,7,13,53,32,46,3,5,0.1,0.54,5.5,7,24
597,TERM,75055,M,WHITE,1,19.07,25,5000,7,4,3,19,14.2,23,8,7,6,8,57,44,52,4,4,0.61,0.75,5.5,8,31
598,TERM,75055,F,WHITE,2,20.1,37,5000,4,4,4,28,10.18,13,6,6,3,25,62,34,59,4,6,0.4,0.36,4,0,38
599,TERM,75012,F,WHITE,1,5.96,1,1000,6,3,0,5,6,0,5,5,4,4,30,18,22,1,3,-0.01,-1,4.5,4,4
600,TERM,75032,F,WHITE,1,6.45,9,5000,8,2,1,8,6,31,1,4,6,3,65,52,55,4,3,0.15,0.33,5,3,34
601,ACTIVE,75062,F,WHITE,2,21.53,37,5000,7,3,4,35,19.6,11,2,6,8,14,47,32,47,3,5,0.14,0.14,5,7,25
602,ACTIVE,75018,F,WHITE,1,16.5,18,5000,7,6,2,16,8.08,31,2,5,1,1,53,52,53,4,2,8.42,2,6.5,1,32
603,ACTIVE,75012,F,WHITE,1,17.35,25,5000,4,2,3,16,10.42,0,1,2,10,27,49,21,49,3,6,0.26,0.33,3,27,27
604,ACTIVE,75042,F,WHITE,1,24.95,55,5000,2,7,6,51,20.56,0,2,5,5,29,50,21,50,4,6,0.15,0.14,4.5,5,29
605,ACTIVE,75012,F,WHITE,1,15.1,9,5000,6,1,1,1,14.31,5,6,6,2,30,55,26,55,4,6,0.03,0.27,3.5,20,35
606,ACTIVE,75020,F,WHITE,1,36.79,54,5000,7,2,5,51,31.7,2,6,5,4,12,34,23,34,2,5,0.42,0.25,4.5,5,14
607,TERM,75011,F,WHITE,1,18.94,37,5000,1,1,4,36,15.67,17,8,6,8,8,52,38,47,3,4,0.41,0.13,1,3,25
608,TERM,75011,F,WHITE,1,10.94,5,5000,5,0,1,3,7.38,7,7,9,5,8,41,28,36,3,4,0.45,0.25,2.5,1,15
609,TERM,75020,F,WHITE,3,7.32,5,5000,7,0,1,4,6,23,4,2,0,2,55,44,46,3,3,0.66,0.5,3.5,1,25
610,ACTIVE,75018,F,WHITE,1,22.13,48,5000,2,4,5,43,12.95,10,10,10,4,12,43,31,43,3,5,0.77,0.42,3,1,22
611,TERM,75028,F,WHITE,1,11.73,8,5000,4,3,1,0,9.91,4,9,9,8,11,37,25,36,3,5,0.17,0.73,3.5,8,15
612,TERM,75011,F,WHITE,1,4.25,1,1000,4,2,0,4,6,0,5,7,1,1,28,17,18,1,2,-1.75,-3,3,1,1
613,ACTIVE,75062,F,WHITE,1,11.41,3,3000,4,3,0,4,3.58,20,4,4,5,30,71,41,71,4,6,0.26,-0.03,3.5,30,50
614,TERM,75001,M,WHITE,1,6.04,5,5000,0,8,1,1,6,0,4,5,3,0,28,20,20,1,1,0.04,4,4,0,0
615,TERM,75001,F,WHITE,1,22.71,51,5000,8,2,5,44,17.65,0,10,5,2,27,51,21,48,3,6,0.19,0.26,5,8,27
616,ACTIVE,75022,F,WHITE,1,13.51,8,5000,8,3,1,1,6.35,28,5,4,2,13,62,49,62,4,5,0.55,0.54,5.5,13,41
617,ACTIVE,75042,F,WHITE,1,16.67,21,5000,0,7,2,14,11.06,11,2,5,3,4,36,32,36,3,3,1.4,1.75,3.5,4,15
618,ACTIVE,75018,F,WHITE,1,30.31,46,5000,4,5,5,45,25.2,0,9,6,6,34,56,21,56,4,6,0.15,0.03,4.5,9,34
619,TERM,75038,F,WHITE,1,4.97,1,1000,5,1,0,4,6,30,9,6,6,2,63,51,53,4,3,-0.52,-1.5,3,2,32
620,TERM,75042,F,WHITE,1,17.42,37,5000,5,4,4,34,8.39,16,5,5,9,29,73,37,66,4,6,0.31,0.1,4.5,4,45
621,TERM,75028,F,WHITE,1,8.72,3,3000,6,3,0,3,6,45,1,3,2,5,82,66,71,4,4,0.54,0,4.5,5,50
622,ACTIVE,75032,F,WHITE,1,21.68,35,5000,9,4,4,29,20.79,9,7,8,4,20,50,30,50,4,6,0.04,0.3,6.5,8,29
623,ACTIVE,75028,F,WHITE,2,24.95,55,5000,2,6,6,48,17.35,1,1,2,3,20,41,22,41,3,6,0.38,0.35,4,11,21
624,TERM,75028,F,WHITE,3,11.86,5,5000,9,1,1,4,3.02,28,9,5,2,17,68,49,67,4,5,0.52,0.06,5,17,45
625,ACTIVE,75022,F,WHITE,1,15.89,13,5000,7,3,1,8,10.54,0,8,7,0,18,39,21,39,3,5,0.3,0.28,5,6,18
626,TERM,75038,F,WHITE,1,13.86,18,5000,9,3,2,8,5.08,36,3,7,3,6,70,57,63,4,4,1.46,1.67,6,6,42
627,TERM,75022,F,WHITE,1,17.82,40,5000,3,0,4,38,15.48,21,4,5,2,1,47,42,43,3,2,2.34,2,1.5,1,22
628,ACTIVE,75032,F,WHITE,1,12.77,6,5000,7,4,1,3,11.08,0,8,6,1,19,37,18,37,3,5,0.09,0.16,5.5,14,19
629,ACTIVE,75042,F,WHITE,1,18.8,23,5000,2,6,2,14,18.01,10,10,8,5,33,64,31,64,4,6,0.02,0.27,4,25,43
630,ACTIVE,75038,F,WHITE,3,21.53,37,5000,7,2,4,28,21.08,3,8,9,5,12,36,24,36,3,5,0.04,0.75,4.5,12,15
631,TERM,75002,F,WHITE,1,14.38,37,5000,2,5,4,33,6.58,1,1,3,0,2,35,22,25,2,3,3.9,2,3.5,2,3
632,ACTIVE,75032,F,WHITE,1,21.53,37,5000,7,4,4,35,13.44,8,7,8,2,26,55,29,55,4,6,0.31,0.08,5.5,13,34
633,TERM,75022,F,WHITE,1,21.53,37,5000,7,6,4,33,12.5,0,8,7,8,28,50,21,49,3,6,0.32,0.14,6.5,2,28
634,ACTIVE,75002,F,WHITE,1,12.94,7,5000,1,7,1,4,8.45,1,1,4,7,18,39,22,39,3,5,0.25,0.17,4,9,19
635,TERM,75020,F,WHITE,1,12.36,36,5000,5,2,4,35,5.67,0,6,5,3,4,30,18,22,1,3,1.67,0.25,3.5,0,4
636,ACTIVE,75001,F,WHITE,1,15.22,17,5000,9,1,2,14,7.41,0,7,7,5,27,48,20,48,3,6,0.29,0.11,5,1,27
637,TERM,75042,F,WHITE,1,13.77,14,5000,3,4,1,14,8.79,23,8,6,3,10,59,44,54,4,5,0.5,0,3.5,10,33
638,ACTIVE,75028,F,WHITE,1,21.53,37,5000,7,1,4,29,20.46,12,4,6,1,28,61,33,61,4,6,0.04,0.29,4,28,40
639,ACTIVE,75055,F,WHITE,1,12.32,5,5000,2,5,1,4,9.29,8,9,8,0,14,43,29,43,3,5,0.22,0.07,3.5,14,22
640,TERM,75011,M,WHITE,1,60.1,95,5000,10,5,10,92,57.06,19,6,8,8,29,74,40,69,4,6,0.1,0.1,7.5,4,48
641,ACTIVE,75028,F,WHITE,1,15.1,9,5000,6,2,1,4,12.16,10,8,8,9,6,37,31,37,3,4,0.49,0.83,4,6,16
642,TERM,75018,M,WHITE,1,75,95,5000,5,3,10,93,65.91,11,6,5,2,20,53,32,52,4,6,0.45,0.1,4,0,31
643,TERM,75032,F,WHITE,1,25.8,49,5000,4,4,5,48,25.77,0,4,3,1,42,64,19,61,4,6,0,0.02,4,42,42
644,ACTIVE,75042,F,WHITE,1,19.11,18,5000,4,5,2,11,18.01,0,3,2,5,31,50,20,50,4,6,0.04,0.23,4.5,4,31
645,TERM,75032,F,WHITE,1,21.5,44,5000,6,1,4,34,20.87,2,9,5,1,51,81,23,74,4,6,0.01,0.2,3.5,51,53
646,ACTIVE,75038,F,WHITE,1,15.02,17,5000,5,5,2,16,9.14,22,0,5,9,14,58,43,58,4,5,0.42,0.07,5,14,36
647,ACTIVE,75028,F,WHITE,2,10.7,3,3000,2,5,0,6,6,36,5,3,6,11,69,57,69,4,5,0.43,-0.27,3.5,11,47
648,TERM,75028,F,WHITE,3,16.18,37,5000,9,4,4,35,12.32,9,7,7,5,1,36,30,30,2,2,3.86,2,6.5,1,10
649,ACTIVE,75022,F,WHITE,1,12.77,6,5000,7,1,1,2,11,0,3,6,8,27,42,15,42,3,6,0.07,0.15,4,5,27
650,ACTIVE,75002,F,WHITE,1,26.08,45,5000,4,0,5,45,17.42,10,4,7,1,12,43,31,43,3,5,0.72,0,2,4,22
651,ACTIVE,75028,F,WHITE,1,21.53,37,5000,7,7,4,36,11.92,2,3,7,1,30,52,23,52,4,6,0.32,0.03,7,1,32
652,TERM,75011,F,WHITE,1,5.61,1,1000,6,2,0,8,6,6,3,3,9,2,38,27,29,2,3,-0.2,-3.5,4,2,8
653,TERM,75018,M,WHITE,1,8.76,63,5000,2,0,6,59,2.41,4,2,3,3,1,35,25,26,2,2,6.35,4,1,1,5
654,TERM,75042,M,WHITE,1,6.5,1,1000,7,1,0,1,6,0,10,6,4,4,31,21,24,1,3,0.13,0,4,2,4
655,TERM,75022,F,WHITE,3,18.45,37,5000,3,6,4,34,13.57,12,1,2,5,3,39,33,36,3,3,1.63,1,4.5,2,15
656,ACTIVE,75042,F,WHITE,3,17.35,25,5000,4,6,3,20,14.78,6,1,2,3,11,38,27,38,3,5,0.23,0.45,5,2,17
657,TERM,75062,F,WHITE,1,4.25,1,1000,4,4,0,0,6,1,6,6,1,0,33,22,22,1,1,-1.75,1,4,0,1
658,TERM,75038,M,WHITE,1,6.93,5,5000,5,4,1,4,6,0,3,4,1,3,29,19,22,1,3,0.31,0.33,4.5,3,3
659,TERM,75001,F,WHITE,1,30.47,60,5000,8,2,6,58,27.69,9,6,7,1,4,40,30,34,2,3,0.69,0.5,5,4,13
660,TERM,75012,F,WHITE,1,6.5,1,1000,7,1,0,7,6,0,0,5,5,0,31,20,20,1,1,0.5,-6,4,0,0
661,TERM,75018,F,WHITE,1,6.5,1,1000,7,0,0,4,6,0,7,4,6,0,31,20,20,1,1,0.5,-3,3.5,0,0
662,TERM,75032,M,WHITE,1,6.5,1,1000,7,1,0,8,6,1,2,1,5,0,33,22,22,1,1,0.5,-7,4,0,1
663,TERM,75062,F,WHITE,1,6.5,1,1000,7,1,0,3,6,1,6,5,9,0,29,22,22,1,1,0.5,-2,4,0,1
664,TERM,75042,M,WHITE,1,6.5,1,1000,7,4,0,1,6,0,1,4,2,0,30,20,20,1,1,0.5,0,5.5,0,0
665,ACTIVE,75038,F,WHITE,1,31.5,52,5000,8,2,5,51,24.22,6,3,3,0,4,31,27,31,2,3,1.82,0.25,5,4,10
666,TERM,75028,F,WHITE,1,6.5,1,1000,7,1,0,0,6,1,9,8,4,0,32,22,22,1,1,0.5,1,4,0,1
667,TERM,75022,F,WHITE,1,6.5,1,1000,7,3,0,7,6,0,8,6,8,0,32,21,21,1,1,0.5,-6,5,0,0
668,ACTIVE,75032,F,WHITE,1,31.01,54,5000,5,4,5,49,21.77,6,6,8,3,5,32,27,32,2,4,1.85,1,4.5,5,11
669,TERM,75002,F,WHITE,1,5.61,1,1000,6,4,0,0,6,0,4,4,1,2,28,17,19,1,3,-0.2,0.5,5,2,2
670,TERM,75001,F,WHITE,1,14.14,37,5000,3,7,4,31,7.69,2,10,6,8,1,34,23,24,1,2,6.45,6,5,1,3
671,TERM,75055,F,WHITE,1,4.97,1,1000,5,0,0,1,6,0,10,6,6,0,27,17,17,1,1,-1.03,0,2.5,0,0
672,TERM,75022,F,WHITE,1,13.73,37,5000,8,8,4,32,7.1,3,0,3,8,1,36,24,25,2,2,6.63,5,8,1,4
673,TERM,75028,F,WHITE,1,15.03,37,5000,6,5,4,37,13.38,1,8,6,2,11,44,22,33,2,5,0.15,0,5.5,11,12
674,ACTIVE,75028,F,WHITE,1,21.53,37,5000,7,0,4,34,12.3,16,8,5,8,4,41,37,41,3,3,2.31,0.75,3.5,1,20
675,TERM,75042,F,WHITE,1,5.99,5,5000,10,3,1,1,6,20,10,8,3,0,52,41,41,3,1,-0.01,4,6.5,0,20
676,TERM,75032,F,WHITE,1,13.49,37,5000,9,8,4,28,4.8,2,10,9,8,1,34,23,24,1,2,8.69,9,8.5,1,3
677,TERM,75020,M,WHITE,1,4.66,1,1000,5,5,0,9,6,0,6,5,8,2,27,15,17,1,3,-0.67,-4,5,2,2
